2018-11-05 11:43:49.8974 DEBUG In meltcurve, curTemp = 47.1160011291504
2018-11-05 11:43:49.9142 DEBUG In meltcurve, curTemp = 47.1160011291504
2018-11-05 11:43:49.9452 DEBUG In meltcurve, curTemp = 47.1259994506836
2018-11-05 11:43:49.9621 DEBUG In meltcurve, curTemp = 47.1259994506836
2018-11-05 11:43:49.9781 DEBUG In meltcurve, curTemp = 47.1259994506836
2018-11-05 11:43:50.9963 DEBUG opticReadCmd, got an exception: 操作已超时。
2018-11-05 11:43:51.0163 DEBUG In meltcurve, curTemp = 47.2239990234375
2018-11-05 11:43:51.2876 DEBUG In meltcurve, curTemp = 47.2550010681152
2018-11-05 11:43:51.3554 DEBUG In meltcurve, curTemp = 47.265998840332
2018-11-05 11:43:51.3554 DEBUG In meltcurve, curTemp = 47.265998840332
2018-11-05 11:43:51.3833 DEBUG In meltcurve, curTemp = 47.265998840332
2018-11-05 11:43:51.3993 DEBUG In meltcurve, curTemp = 47.265998840332
2018-11-05 11:43:51.4152 DEBUG In meltcurve, curTemp = 47.265998840332
2018-11-05 11:43:51.4790 DEBUG In meltcurve, curTemp = 47.2770004272461
2018-11-05 11:43:51.5269 DEBUG In meltcurve, curTemp = 47.2770004272461
2018-11-05 11:43:51.5429 DEBUG In meltcurve, curTemp = 47.2869987487793
2018-11-05 11:43:51.5588 DEBUG In meltcurve, curTemp = 47.2869987487793
2018-11-05 11:43:51.5748 DEBUG In meltcurve, curTemp = 47.2869987487793
2018-11-05 11:43:51.5907 DEBUG In meltcurve, curTemp = 47.2869987487793
2018-11-05 11:43:52.6090 DEBUG opticReadCmd, got an exception: 操作已超时。
2018-11-05 11:43:52.6619 DEBUG In meltcurve, curTemp = 47.3950004577637
2018-11-05 11:43:52.9810 DEBUG In meltcurve, curTemp = 47.4259986877441
2018-11-05 11:43:52.9970 DEBUG In meltcurve, curTemp = 47.4259986877441
2018-11-05 11:43:53.0129 DEBUG In meltcurve, curTemp = 47.4259986877441
2018-11-05 11:43:53.0289 DEBUG In meltcurve, curTemp = 47.4259986877441
2018-11-05 11:43:53.0449 DEBUG In meltcurve, curTemp = 47.435001373291
2018-11-05 11:43:53.0608 DEBUG In meltcurve, curTemp = 47.435001373291
2018-11-05 11:43:53.0768 DEBUG In meltcurve, curTemp = 47.435001373291
2018-11-05 11:43:53.0927 DEBUG In meltcurve, curTemp = 47.435001373291
2018-11-05 11:43:53.1087 DEBUG In meltcurve, curTemp = 47.435001373291
2018-11-05 11:43:53.1256 DEBUG In meltcurve, curTemp = 47.435001373291
2018-11-05 11:43:53.1416 DEBUG In meltcurve, curTemp = 47.4449996948242
2018-11-05 11:43:53.1576 DEBUG In meltcurve, curTemp = 47.4449996948242
2018-11-05 11:43:54.1728 DEBUG opticReadCmd, got an exception: 操作已超时。
2018-11-05 11:43:54.2277 DEBUG In meltcurve, curTemp = 47.5460014343262
2018-11-05 11:43:54.4840 DEBUG In meltcurve, curTemp = 47.5750007629395
2018-11-05 11:43:54.5309 DEBUG In meltcurve, curTemp = 47.5750007629395
2018-11-05 11:43:54.5468 DEBUG In meltcurve, curTemp = 47.5859985351563
2018-11-05 11:43:54.5638 DEBUG In meltcurve, curTemp = 47.5859985351563
2018-11-05 11:43:54.5798 DEBUG In meltcurve, curTemp = 47.5859985351563
2018-11-05 11:43:54.5947 DEBUG In meltcurve, curTemp = 47.5859985351563
2018-11-05 11:43:54.6117 DEBUG In meltcurve, curTemp = 47.5859985351563
2018-11-05 11:43:54.6276 DEBUG In meltcurve, curTemp = 47.5859985351563
2018-11-05 11:43:54.6436 DEBUG In meltcurve, curTemp = 47.5950012207031
2018-11-05 11:43:54.6595 DEBUG In meltcurve, curTemp = 47.5950012207031
2018-11-05 11:43:54.7234 DEBUG In meltcurve, curTemp = 47.5950012207031
2018-11-05 11:43:54.7872 DEBUG In meltcurve, curTemp = 47.6049995422363
2018-11-05 11:43:55.8055 DEBUG opticReadCmd, got an exception: 操作已超时。
2018-11-05 11:43:55.8574 DEBUG In meltcurve, curTemp = 47.7150001525879
2018-11-05 11:43:56.0498 DEBUG In meltcurve, curTemp = 47.7350006103516
2018-11-05 11:43:56.0658 DEBUG In meltcurve, curTemp = 47.7350006103516
2018-11-05 11:43:56.0808 DEBUG In meltcurve, curTemp = 47.7350006103516
2018-11-05 11:43:56.0967 DEBUG In meltcurve, curTemp = 47.7350006103516
2018-11-05 11:43:56.1127 DEBUG In meltcurve, curTemp = 47.7350006103516
2018-11-05 11:43:56.1296 DEBUG In meltcurve, curTemp = 47.7350006103516
2018-11-05 11:43:56.1446 DEBUG In meltcurve, curTemp = 47.7449989318848
2018-11-05 11:43:56.1605 DEBUG In meltcurve, curTemp = 47.7449989318848
2018-11-05 11:43:56.1775 DEBUG In meltcurve, curTemp = 47.7449989318848
2018-11-05 11:43:56.1934 DEBUG In meltcurve, curTemp = 47.7449989318848
2018-11-05 11:43:56.2094 DEBUG In meltcurve, curTemp = 47.7449989318848
2018-11-05 11:43:56.2254 DEBUG In meltcurve, curTemp = 47.7449989318848
2018-11-05 11:43:57.2426 DEBUG opticReadCmd, got an exception: 操作已超时。
2018-11-05 11:43:57.2636 DEBUG In meltcurve, curTemp = 47.8540000915527
2018-11-05 11:43:57.6476 DEBUG In meltcurve, curTemp = 47.8950004577637
2018-11-05 11:43:57.6635 DEBUG In meltcurve, curTemp = 47.8950004577637
2018-11-05 11:43:57.6795 DEBUG In meltcurve, curTemp = 47.8950004577637
2018-11-05 11:43:57.6955 DEBUG In meltcurve, curTemp = 47.8950004577637
